"Notes"	"Month Day, Year"	"Month Day, Year Code"	"State"	"State Code"	Avg Daily Max Air Temperature (F)
	"Mar 21, 2011"	"2011/03/21"	"Georgia"	"13"	79.66
"Total"	"Mar 21, 2011"	"2011/03/21"			79.66
	"Mar 22, 2011"	"2011/03/22"	"Georgia"	"13"	80.46
"Total"	"Mar 22, 2011"	"2011/03/22"			80.46
	"Mar 23, 2011"	"2011/03/23"	"Georgia"	"13"	81.52
"Total"	"Mar 23, 2011"	"2011/03/23"			81.52
	"Mar 24, 2011"	"2011/03/24"	"Georgia"	"13"	70.31
"Total"	"Mar 24, 2011"	"2011/03/24"			70.31
	"Mar 25, 2011"	"2011/03/25"	"Georgia"	"13"	67.66
"Total"	"Mar 25, 2011"	"2011/03/25"			67.66
	"Mar 26, 2011"	"2011/03/26"	"Georgia"	"13"	73.79
"Total"	"Mar 26, 2011"	"2011/03/26"			73.79
	"Mar 27, 2011"	"2011/03/27"	"Georgia"	"13"	74.14
"Total"	"Mar 27, 2011"	"2011/03/27"			74.14
	"Mar 28, 2011"	"2011/03/28"	"Georgia"	"13"	68.00
"Total"	"Mar 28, 2011"	"2011/03/28"			68.00
	"Mar 29, 2011"	"2011/03/29"	"Georgia"	"13"	68.61
"Total"	"Mar 29, 2011"	"2011/03/29"			68.61
	"Mar 30, 2011"	"2011/03/30"	"Georgia"	"13"	70.65
"Total"	"Mar 30, 2011"	"2011/03/30"			70.65
	"Mar 31, 2011"	"2011/03/31"	"Georgia"	"13"	67.51
"Total"	"Mar 31, 2011"	"2011/03/31"			67.51
	"Apr 01, 2011"	"2011/04/01"	"Georgia"	"13"	62.45
"Total"	"Apr 01, 2011"	"2011/04/01"			62.45
	"Apr 02, 2011"	"2011/04/02"	"Georgia"	"13"	69.48
"Total"	"Apr 02, 2011"	"2011/04/02"			69.48
	"Apr 03, 2011"	"2011/04/03"	"Georgia"	"13"	76.63
"Total"	"Apr 03, 2011"	"2011/04/03"			76.63
	"Apr 04, 2011"	"2011/04/04"	"Georgia"	"13"	83.26
"Total"	"Apr 04, 2011"	"2011/04/04"			83.26
	"Apr 05, 2011"	"2011/04/05"	"Georgia"	"13"	68.29
"Total"	"Apr 05, 2011"	"2011/04/05"			68.29
	"Apr 06, 2011"	"2011/04/06"	"Georgia"	"13"	67.74
"Total"	"Apr 06, 2011"	"2011/04/06"			67.74
	"Apr 07, 2011"	"2011/04/07"	"Georgia"	"13"	75.04
"Total"	"Apr 07, 2011"	"2011/04/07"			75.04
	"Apr 08, 2011"	"2011/04/08"	"Georgia"	"13"	84.31
"Total"	"Apr 08, 2011"	"2011/04/08"			84.31
	"Apr 09, 2011"	"2011/04/09"	"Georgia"	"13"	86.85
"Total"	"Apr 09, 2011"	"2011/04/09"			86.85
	"Apr 10, 2011"	"2011/04/10"	"Georgia"	"13"	87.62
"Total"	"Apr 10, 2011"	"2011/04/10"			87.62
	"Apr 11, 2011"	"2011/04/11"	"Georgia"	"13"	86.74
"Total"	"Apr 11, 2011"	"2011/04/11"			86.74
	"Apr 12, 2011"	"2011/04/12"	"Georgia"	"13"	71.96
"Total"	"Apr 12, 2011"	"2011/04/12"			71.96
	"Apr 13, 2011"	"2011/04/13"	"Georgia"	"13"	74.20
"Total"	"Apr 13, 2011"	"2011/04/13"			74.20
	"Apr 14, 2011"	"2011/04/14"	"Georgia"	"13"	78.09
"Total"	"Apr 14, 2011"	"2011/04/14"			78.09
	"Apr 15, 2011"	"2011/04/15"	"Georgia"	"13"	76.60
"Total"	"Apr 15, 2011"	"2011/04/15"			76.60
	"Apr 16, 2011"	"2011/04/16"	"Georgia"	"13"	73.41
"Total"	"Apr 16, 2011"	"2011/04/16"			73.41
	"Apr 17, 2011"	"2011/04/17"	"Georgia"	"13"	70.94
"Total"	"Apr 17, 2011"	"2011/04/17"			70.94
	"Apr 18, 2011"	"2011/04/18"	"Georgia"	"13"	78.24
"Total"	"Apr 18, 2011"	"2011/04/18"			78.24
	"Apr 19, 2011"	"2011/04/19"	"Georgia"	"13"	85.32
"Total"	"Apr 19, 2011"	"2011/04/19"			85.32
	"Apr 20, 2011"	"2011/04/20"	"Georgia"	"13"	85.28
"Total"	"Apr 20, 2011"	"2011/04/20"			85.28
	"Apr 21, 2011"	"2011/04/21"	"Georgia"	"13"	84.24
"Total"	"Apr 21, 2011"	"2011/04/21"			84.24
	"Apr 22, 2011"	"2011/04/22"	"Georgia"	"13"	84.32
"Total"	"Apr 22, 2011"	"2011/04/22"			84.32
	"Apr 23, 2011"	"2011/04/23"	"Georgia"	"13"	86.45
"Total"	"Apr 23, 2011"	"2011/04/23"			86.45
	"Apr 24, 2011"	"2011/04/24"	"Georgia"	"13"	86.55
"Total"	"Apr 24, 2011"	"2011/04/24"			86.55
	"Apr 25, 2011"	"2011/04/25"	"Georgia"	"13"	83.72
"Total"	"Apr 25, 2011"	"2011/04/25"			83.72
	"Apr 26, 2011"	"2011/04/26"	"Georgia"	"13"	85.37
"Total"	"Apr 26, 2011"	"2011/04/26"			85.37
	"Apr 27, 2011"	"2011/04/27"	"Georgia"	"13"	88.25
"Total"	"Apr 27, 2011"	"2011/04/27"			88.25
	"Apr 28, 2011"	"2011/04/28"	"Georgia"	"13"	77.47
"Total"	"Apr 28, 2011"	"2011/04/28"			77.47
	"Apr 29, 2011"	"2011/04/29"	"Georgia"	"13"	77.14
"Total"	"Apr 29, 2011"	"2011/04/29"			77.14
	"Apr 30, 2011"	"2011/04/30"	"Georgia"	"13"	81.39
"Total"	"Apr 30, 2011"	"2011/04/30"			81.39
	"May 01, 2011"	"2011/05/01"	"Georgia"	"13"	84.04
"Total"	"May 01, 2011"	"2011/05/01"			84.04
	"May 02, 2011"	"2011/05/02"	"Georgia"	"13"	86.19
"Total"	"May 02, 2011"	"2011/05/02"			86.19
	"May 03, 2011"	"2011/05/03"	"Georgia"	"13"	85.92
"Total"	"May 03, 2011"	"2011/05/03"			85.92
	"May 04, 2011"	"2011/05/04"	"Georgia"	"13"	69.45
"Total"	"May 04, 2011"	"2011/05/04"			69.45
	"May 05, 2011"	"2011/05/05"	"Georgia"	"13"	71.62
"Total"	"May 05, 2011"	"2011/05/05"			71.62
	"May 06, 2011"	"2011/05/06"	"Georgia"	"13"	75.28
"Total"	"May 06, 2011"	"2011/05/06"			75.28
	"May 07, 2011"	"2011/05/07"	"Georgia"	"13"	79.10
"Total"	"May 07, 2011"	"2011/05/07"			79.10
	"May 08, 2011"	"2011/05/08"	"Georgia"	"13"	88.07
"Total"	"May 08, 2011"	"2011/05/08"			88.07
	"May 09, 2011"	"2011/05/09"	"Georgia"	"13"	89.44
"Total"	"May 09, 2011"	"2011/05/09"			89.44
	"May 10, 2011"	"2011/05/10"	"Georgia"	"13"	92.22
"Total"	"May 10, 2011"	"2011/05/10"			92.22
	"May 11, 2011"	"2011/05/11"	"Georgia"	"13"	92.20
"Total"	"May 11, 2011"	"2011/05/11"			92.20
	"May 12, 2011"	"2011/05/12"	"Georgia"	"13"	91.26
"Total"	"May 12, 2011"	"2011/05/12"			91.26
	"May 13, 2011"	"2011/05/13"	"Georgia"	"13"	90.16
"Total"	"May 13, 2011"	"2011/05/13"			90.16
	"May 14, 2011"	"2011/05/14"	"Georgia"	"13"	80.30
"Total"	"May 14, 2011"	"2011/05/14"			80.30
	"May 15, 2011"	"2011/05/15"	"Georgia"	"13"	73.00
"Total"	"May 15, 2011"	"2011/05/15"			73.00
	"May 16, 2011"	"2011/05/16"	"Georgia"	"13"	68.12
"Total"	"May 16, 2011"	"2011/05/16"			68.12
	"May 17, 2011"	"2011/05/17"	"Georgia"	"13"	69.40
"Total"	"May 17, 2011"	"2011/05/17"			69.40
	"May 18, 2011"	"2011/05/18"	"Georgia"	"13"	70.64
"Total"	"May 18, 2011"	"2011/05/18"			70.64
	"May 19, 2011"	"2011/05/19"	"Georgia"	"13"	81.18
"Total"	"May 19, 2011"	"2011/05/19"			81.18
	"May 20, 2011"	"2011/05/20"	"Georgia"	"13"	88.15
"Total"	"May 20, 2011"	"2011/05/20"			88.15
	"May 21, 2011"	"2011/05/21"	"Georgia"	"13"	92.36
"Total"	"May 21, 2011"	"2011/05/21"			92.36
	"May 22, 2011"	"2011/05/22"	"Georgia"	"13"	95.23
"Total"	"May 22, 2011"	"2011/05/22"			95.23
	"May 23, 2011"	"2011/05/23"	"Georgia"	"13"	95.04
"Total"	"May 23, 2011"	"2011/05/23"			95.04
	"May 24, 2011"	"2011/05/24"	"Georgia"	"13"	94.71
"Total"	"May 24, 2011"	"2011/05/24"			94.71
	"May 25, 2011"	"2011/05/25"	"Georgia"	"13"	95.74
"Total"	"May 25, 2011"	"2011/05/25"			95.74
	"May 26, 2011"	"2011/05/26"	"Georgia"	"13"	93.03
"Total"	"May 26, 2011"	"2011/05/26"			93.03
	"May 27, 2011"	"2011/05/27"	"Georgia"	"13"	87.50
"Total"	"May 27, 2011"	"2011/05/27"			87.50
	"May 28, 2011"	"2011/05/28"	"Georgia"	"13"	91.68
"Total"	"May 28, 2011"	"2011/05/28"			91.68
	"May 29, 2011"	"2011/05/29"	"Georgia"	"13"	94.87
"Total"	"May 29, 2011"	"2011/05/29"			94.87
	"May 30, 2011"	"2011/05/30"	"Georgia"	"13"	94.32
"Total"	"May 30, 2011"	"2011/05/30"			94.32
	"May 31, 2011"	"2011/05/31"	"Georgia"	"13"	96.96
"Total"	"May 31, 2011"	"2011/05/31"			96.96
	"Jun 01, 2011"	"2011/06/01"	"Georgia"	"13"	98.90
"Total"	"Jun 01, 2011"	"2011/06/01"			98.90
	"Jun 02, 2011"	"2011/06/02"	"Georgia"	"13"	98.95
"Total"	"Jun 02, 2011"	"2011/06/02"			98.95
	"Jun 03, 2011"	"2011/06/03"	"Georgia"	"13"	97.07
"Total"	"Jun 03, 2011"	"2011/06/03"			97.07
	"Jun 04, 2011"	"2011/06/04"	"Georgia"	"13"	95.38
"Total"	"Jun 04, 2011"	"2011/06/04"			95.38
	"Jun 05, 2011"	"2011/06/05"	"Georgia"	"13"	99.27
"Total"	"Jun 05, 2011"	"2011/06/05"			99.27
	"Jun 06, 2011"	"2011/06/06"	"Georgia"	"13"	96.35
"Total"	"Jun 06, 2011"	"2011/06/06"			96.35
	"Jun 07, 2011"	"2011/06/07"	"Georgia"	"13"	94.72
"Total"	"Jun 07, 2011"	"2011/06/07"			94.72
	"Jun 08, 2011"	"2011/06/08"	"Georgia"	"13"	94.21
"Total"	"Jun 08, 2011"	"2011/06/08"			94.21
	"Jun 09, 2011"	"2011/06/09"	"Georgia"	"13"	95.75
"Total"	"Jun 09, 2011"	"2011/06/09"			95.75
	"Jun 10, 2011"	"2011/06/10"	"Georgia"	"13"	95.69
"Total"	"Jun 10, 2011"	"2011/06/10"			95.69
	"Jun 11, 2011"	"2011/06/11"	"Georgia"	"13"	94.91
"Total"	"Jun 11, 2011"	"2011/06/11"			94.91
	"Jun 12, 2011"	"2011/06/12"	"Georgia"	"13"	96.19
"Total"	"Jun 12, 2011"	"2011/06/12"			96.19
	"Jun 13, 2011"	"2011/06/13"	"Georgia"	"13"	97.21
"Total"	"Jun 13, 2011"	"2011/06/13"			97.21
	"Jun 14, 2011"	"2011/06/14"	"Georgia"	"13"	96.13
"Total"	"Jun 14, 2011"	"2011/06/14"			96.13
	"Jun 15, 2011"	"2011/06/15"	"Georgia"	"13"	98.03
"Total"	"Jun 15, 2011"	"2011/06/15"			98.03
	"Jun 16, 2011"	"2011/06/16"	"Georgia"	"13"	93.90
"Total"	"Jun 16, 2011"	"2011/06/16"			93.90
	"Jun 17, 2011"	"2011/06/17"	"Georgia"	"13"	92.85
"Total"	"Jun 17, 2011"	"2011/06/17"			92.85
	"Jun 18, 2011"	"2011/06/18"	"Georgia"	"13"	95.66
"Total"	"Jun 18, 2011"	"2011/06/18"			95.66
	"Jun 19, 2011"	"2011/06/19"	"Georgia"	"13"	97.90
"Total"	"Jun 19, 2011"	"2011/06/19"			97.90
	"Jun 20, 2011"	"2011/06/20"	"Georgia"	"13"	98.61
"Total"	"Jun 20, 2011"	"2011/06/20"			98.61
	"Jun 21, 2011"	"2011/06/21"	"Georgia"	"13"	98.68
"Total"	"Jun 21, 2011"	"2011/06/21"			98.68
	"Jun 22, 2011"	"2011/06/22"	"Georgia"	"13"	95.25
"Total"	"Jun 22, 2011"	"2011/06/22"			95.25
	"Jun 23, 2011"	"2011/06/23"	"Georgia"	"13"	90.78
"Total"	"Jun 23, 2011"	"2011/06/23"			90.78
	"Jun 24, 2011"	"2011/06/24"	"Georgia"	"13"	95.24
"Total"	"Jun 24, 2011"	"2011/06/24"			95.24
	"Jun 25, 2011"	"2011/06/25"	"Georgia"	"13"	93.80
"Total"	"Jun 25, 2011"	"2011/06/25"			93.80
	"Jun 26, 2011"	"2011/06/26"	"Georgia"	"13"	95.57
"Total"	"Jun 26, 2011"	"2011/06/26"			95.57
	"Jun 27, 2011"	"2011/06/27"	"Georgia"	"13"	93.44
"Total"	"Jun 27, 2011"	"2011/06/27"			93.44
	"Jun 28, 2011"	"2011/06/28"	"Georgia"	"13"	94.03
"Total"	"Jun 28, 2011"	"2011/06/28"			94.03
	"Jun 29, 2011"	"2011/06/29"	"Georgia"	"13"	94.06
"Total"	"Jun 29, 2011"	"2011/06/29"			94.06
	"Jun 30, 2011"	"2011/06/30"	"Georgia"	"13"	92.97
"Total"	"Jun 30, 2011"	"2011/06/30"			92.97
	"Jul 01, 2011"	"2011/07/01"	"Georgia"	"13"	93.50
"Total"	"Jul 01, 2011"	"2011/07/01"			93.50
	"Jul 02, 2011"	"2011/07/02"	"Georgia"	"13"	95.12
"Total"	"Jul 02, 2011"	"2011/07/02"			95.12
	"Jul 03, 2011"	"2011/07/03"	"Georgia"	"13"	93.49
"Total"	"Jul 03, 2011"	"2011/07/03"			93.49
	"Jul 04, 2011"	"2011/07/04"	"Georgia"	"13"	94.24
"Total"	"Jul 04, 2011"	"2011/07/04"			94.24
	"Jul 05, 2011"	"2011/07/05"	"Georgia"	"13"	92.51
"Total"	"Jul 05, 2011"	"2011/07/05"			92.51
	"Jul 06, 2011"	"2011/07/06"	"Georgia"	"13"	94.75
"Total"	"Jul 06, 2011"	"2011/07/06"			94.75
	"Jul 07, 2011"	"2011/07/07"	"Georgia"	"13"	96.42
"Total"	"Jul 07, 2011"	"2011/07/07"			96.42
	"Jul 08, 2011"	"2011/07/08"	"Georgia"	"13"	93.28
"Total"	"Jul 08, 2011"	"2011/07/08"			93.28
	"Jul 09, 2011"	"2011/07/09"	"Georgia"	"13"	94.27
"Total"	"Jul 09, 2011"	"2011/07/09"			94.27
	"Jul 10, 2011"	"2011/07/10"	"Georgia"	"13"	92.51
"Total"	"Jul 10, 2011"	"2011/07/10"			92.51
	"Jul 11, 2011"	"2011/07/11"	"Georgia"	"13"	92.03
"Total"	"Jul 11, 2011"	"2011/07/11"			92.03
	"Jul 12, 2011"	"2011/07/12"	"Georgia"	"13"	97.36
"Total"	"Jul 12, 2011"	"2011/07/12"			97.36
	"Jul 13, 2011"	"2011/07/13"	"Georgia"	"13"	95.20
"Total"	"Jul 13, 2011"	"2011/07/13"			95.20
	"Jul 14, 2011"	"2011/07/14"	"Georgia"	"13"	93.69
"Total"	"Jul 14, 2011"	"2011/07/14"			93.69
	"Jul 15, 2011"	"2011/07/15"	"Georgia"	"13"	87.18
"Total"	"Jul 15, 2011"	"2011/07/15"			87.18
	"Jul 16, 2011"	"2011/07/16"	"Georgia"	"13"	83.20
"Total"	"Jul 16, 2011"	"2011/07/16"			83.20
	"Jul 17, 2011"	"2011/07/17"	"Georgia"	"13"	86.42
"Total"	"Jul 17, 2011"	"2011/07/17"			86.42
	"Jul 18, 2011"	"2011/07/18"	"Georgia"	"13"	89.89
"Total"	"Jul 18, 2011"	"2011/07/18"			89.89
	"Jul 19, 2011"	"2011/07/19"	"Georgia"	"13"	95.52
"Total"	"Jul 19, 2011"	"2011/07/19"			95.52
	"Jul 20, 2011"	"2011/07/20"	"Georgia"	"13"	94.87
"Total"	"Jul 20, 2011"	"2011/07/20"			94.87
	"Jul 21, 2011"	"2011/07/21"	"Georgia"	"13"	95.61
"Total"	"Jul 21, 2011"	"2011/07/21"			95.61
	"Jul 22, 2011"	"2011/07/22"	"Georgia"	"13"	96.05
"Total"	"Jul 22, 2011"	"2011/07/22"			96.05
	"Jul 23, 2011"	"2011/07/23"	"Georgia"	"13"	94.15
"Total"	"Jul 23, 2011"	"2011/07/23"			94.15
	"Jul 24, 2011"	"2011/07/24"	"Georgia"	"13"	93.86
"Total"	"Jul 24, 2011"	"2011/07/24"			93.86
	"Jul 25, 2011"	"2011/07/25"	"Georgia"	"13"	92.26
"Total"	"Jul 25, 2011"	"2011/07/25"			92.26
	"Jul 26, 2011"	"2011/07/26"	"Georgia"	"13"	91.06
"Total"	"Jul 26, 2011"	"2011/07/26"			91.06
	"Jul 27, 2011"	"2011/07/27"	"Georgia"	"13"	91.19
"Total"	"Jul 27, 2011"	"2011/07/27"			91.19
	"Jul 28, 2011"	"2011/07/28"	"Georgia"	"13"	92.93
"Total"	"Jul 28, 2011"	"2011/07/28"			92.93
	"Jul 29, 2011"	"2011/07/29"	"Georgia"	"13"	95.41
"Total"	"Jul 29, 2011"	"2011/07/29"			95.41
	"Jul 30, 2011"	"2011/07/30"	"Georgia"	"13"	95.46
"Total"	"Jul 30, 2011"	"2011/07/30"			95.46
	"Jul 31, 2011"	"2011/07/31"	"Georgia"	"13"	97.49
"Total"	"Jul 31, 2011"	"2011/07/31"			97.49
	"Aug 01, 2011"	"2011/08/01"	"Georgia"	"13"	93.70
"Total"	"Aug 01, 2011"	"2011/08/01"			93.70
	"Aug 02, 2011"	"2011/08/02"	"Georgia"	"13"	96.83
"Total"	"Aug 02, 2011"	"2011/08/02"			96.83
	"Aug 03, 2011"	"2011/08/03"	"Georgia"	"13"	101.12
"Total"	"Aug 03, 2011"	"2011/08/03"			101.12
	"Aug 04, 2011"	"2011/08/04"	"Georgia"	"13"	100.03
"Total"	"Aug 04, 2011"	"2011/08/04"			100.03
	"Aug 05, 2011"	"2011/08/05"	"Georgia"	"13"	99.64
"Total"	"Aug 05, 2011"	"2011/08/05"			99.64
	"Aug 06, 2011"	"2011/08/06"	"Georgia"	"13"	97.63
"Total"	"Aug 06, 2011"	"2011/08/06"			97.63
	"Aug 07, 2011"	"2011/08/07"	"Georgia"	"13"	98.29
"Total"	"Aug 07, 2011"	"2011/08/07"			98.29
	"Aug 08, 2011"	"2011/08/08"	"Georgia"	"13"	99.30
"Total"	"Aug 08, 2011"	"2011/08/08"			99.30
	"Aug 09, 2011"	"2011/08/09"	"Georgia"	"13"	95.53
"Total"	"Aug 09, 2011"	"2011/08/09"			95.53
	"Aug 10, 2011"	"2011/08/10"	"Georgia"	"13"	96.74
"Total"	"Aug 10, 2011"	"2011/08/10"			96.74
	"Aug 11, 2011"	"2011/08/11"	"Georgia"	"13"	96.38
"Total"	"Aug 11, 2011"	"2011/08/11"			96.38
	"Aug 12, 2011"	"2011/08/12"	"Georgia"	"13"	95.80
"Total"	"Aug 12, 2011"	"2011/08/12"			95.80
	"Aug 13, 2011"	"2011/08/13"	"Georgia"	"13"	93.31
"Total"	"Aug 13, 2011"	"2011/08/13"			93.31
	"Aug 14, 2011"	"2011/08/14"	"Georgia"	"13"	92.77
"Total"	"Aug 14, 2011"	"2011/08/14"			92.77
	"Aug 15, 2011"	"2011/08/15"	"Georgia"	"13"	92.65
"Total"	"Aug 15, 2011"	"2011/08/15"			92.65
	"Aug 16, 2011"	"2011/08/16"	"Georgia"	"13"	93.09
"Total"	"Aug 16, 2011"	"2011/08/16"			93.09
	"Aug 17, 2011"	"2011/08/17"	"Georgia"	"13"	94.21
"Total"	"Aug 17, 2011"	"2011/08/17"			94.21
	"Aug 18, 2011"	"2011/08/18"	"Georgia"	"13"	94.53
"Total"	"Aug 18, 2011"	"2011/08/18"			94.53
	"Aug 19, 2011"	"2011/08/19"	"Georgia"	"13"	94.73
"Total"	"Aug 19, 2011"	"2011/08/19"			94.73
	"Aug 20, 2011"	"2011/08/20"	"Georgia"	"13"	94.77
"Total"	"Aug 20, 2011"	"2011/08/20"			94.77
	"Aug 21, 2011"	"2011/08/21"	"Georgia"	"13"	97.63
"Total"	"Aug 21, 2011"	"2011/08/21"			97.63
	"Aug 22, 2011"	"2011/08/22"	"Georgia"	"13"	95.96
"Total"	"Aug 22, 2011"	"2011/08/22"			95.96
	"Aug 23, 2011"	"2011/08/23"	"Georgia"	"13"	95.51
"Total"	"Aug 23, 2011"	"2011/08/23"			95.51
	"Aug 24, 2011"	"2011/08/24"	"Georgia"	"13"	95.25
"Total"	"Aug 24, 2011"	"2011/08/24"			95.25
	"Aug 25, 2011"	"2011/08/25"	"Georgia"	"13"	96.58
"Total"	"Aug 25, 2011"	"2011/08/25"			96.58
	"Aug 26, 2011"	"2011/08/26"	"Georgia"	"13"	99.55
"Total"	"Aug 26, 2011"	"2011/08/26"			99.55
	"Aug 27, 2011"	"2011/08/27"	"Georgia"	"13"	99.95
"Total"	"Aug 27, 2011"	"2011/08/27"			99.95
	"Aug 28, 2011"	"2011/08/28"	"Georgia"	"13"	98.84
"Total"	"Aug 28, 2011"	"2011/08/28"			98.84
	"Aug 29, 2011"	"2011/08/29"	"Georgia"	"13"	97.94
"Total"	"Aug 29, 2011"	"2011/08/29"			97.94
	"Aug 30, 2011"	"2011/08/30"	"Georgia"	"13"	98.23
"Total"	"Aug 30, 2011"	"2011/08/30"			98.23
	"Aug 31, 2011"	"2011/08/31"	"Georgia"	"13"	93.93
"Total"	"Aug 31, 2011"	"2011/08/31"			93.93
	"Sep 01, 2011"	"2011/09/01"	"Georgia"	"13"	95.23
"Total"	"Sep 01, 2011"	"2011/09/01"			95.23
	"Sep 02, 2011"	"2011/09/02"	"Georgia"	"13"	97.66
"Total"	"Sep 02, 2011"	"2011/09/02"			97.66
	"Sep 03, 2011"	"2011/09/03"	"Georgia"	"13"	95.09
"Total"	"Sep 03, 2011"	"2011/09/03"			95.09
	"Sep 04, 2011"	"2011/09/04"	"Georgia"	"13"	89.97
"Total"	"Sep 04, 2011"	"2011/09/04"			89.97
	"Sep 05, 2011"	"2011/09/05"	"Georgia"	"13"	87.13
"Total"	"Sep 05, 2011"	"2011/09/05"			87.13
	"Sep 06, 2011"	"2011/09/06"	"Georgia"	"13"	78.62
"Total"	"Sep 06, 2011"	"2011/09/06"			78.62
	"Sep 07, 2011"	"2011/09/07"	"Georgia"	"13"	76.95
"Total"	"Sep 07, 2011"	"2011/09/07"			76.95
	"Sep 08, 2011"	"2011/09/08"	"Georgia"	"13"	78.64
"Total"	"Sep 08, 2011"	"2011/09/08"			78.64
	"Sep 09, 2011"	"2011/09/09"	"Georgia"	"13"	81.70
"Total"	"Sep 09, 2011"	"2011/09/09"			81.70
	"Sep 10, 2011"	"2011/09/10"	"Georgia"	"13"	87.75
"Total"	"Sep 10, 2011"	"2011/09/10"			87.75
	"Sep 11, 2011"	"2011/09/11"	"Georgia"	"13"	88.66
"Total"	"Sep 11, 2011"	"2011/09/11"			88.66
	"Sep 12, 2011"	"2011/09/12"	"Georgia"	"13"	90.31
"Total"	"Sep 12, 2011"	"2011/09/12"			90.31
	"Sep 13, 2011"	"2011/09/13"	"Georgia"	"13"	91.81
"Total"	"Sep 13, 2011"	"2011/09/13"			91.81
	"Sep 14, 2011"	"2011/09/14"	"Georgia"	"13"	92.80
"Total"	"Sep 14, 2011"	"2011/09/14"			92.80
	"Sep 15, 2011"	"2011/09/15"	"Georgia"	"13"	89.75
"Total"	"Sep 15, 2011"	"2011/09/15"			89.75
	"Sep 16, 2011"	"2011/09/16"	"Georgia"	"13"	82.31
"Total"	"Sep 16, 2011"	"2011/09/16"			82.31
	"Sep 17, 2011"	"2011/09/17"	"Georgia"	"13"	81.68
"Total"	"Sep 17, 2011"	"2011/09/17"			81.68
	"Sep 18, 2011"	"2011/09/18"	"Georgia"	"13"	84.00
"Total"	"Sep 18, 2011"	"2011/09/18"			84.00
	"Sep 19, 2011"	"2011/09/19"	"Georgia"	"13"	83.99
"Total"	"Sep 19, 2011"	"2011/09/19"			83.99
	"Sep 20, 2011"	"2011/09/20"	"Georgia"	"13"	85.05
"Total"	"Sep 20, 2011"	"2011/09/20"			85.05
	"Sep 21, 2011"	"2011/09/21"	"Georgia"	"13"	84.86
"Total"	"Sep 21, 2011"	"2011/09/21"			84.86
	"Sep 22, 2011"	"2011/09/22"	"Georgia"	"13"	85.47
"Total"	"Sep 22, 2011"	"2011/09/22"			85.47
	"Sep 23, 2011"	"2011/09/23"	"Georgia"	"13"	84.11
"Total"	"Sep 23, 2011"	"2011/09/23"			84.11
	"Sep 24, 2011"	"2011/09/24"	"Georgia"	"13"	85.20
"Total"	"Sep 24, 2011"	"2011/09/24"			85.20
	"Sep 25, 2011"	"2011/09/25"	"Georgia"	"13"	85.56
"Total"	"Sep 25, 2011"	"2011/09/25"			85.56
	"Sep 26, 2011"	"2011/09/26"	"Georgia"	"13"	87.40
"Total"	"Sep 26, 2011"	"2011/09/26"			87.40
	"Sep 27, 2011"	"2011/09/27"	"Georgia"	"13"	87.48
"Total"	"Sep 27, 2011"	"2011/09/27"			87.48
	"Sep 28, 2011"	"2011/09/28"	"Georgia"	"13"	88.25
"Total"	"Sep 28, 2011"	"2011/09/28"			88.25
	"Sep 29, 2011"	"2011/09/29"	"Georgia"	"13"	86.36
"Total"	"Sep 29, 2011"	"2011/09/29"			86.36
	"Sep 30, 2011"	"2011/09/30"	"Georgia"	"13"	82.96
"Total"	"Sep 30, 2011"	"2011/09/30"			82.96
	"Oct 01, 2011"	"2011/10/01"	"Georgia"	"13"	70.03
"Total"	"Oct 01, 2011"	"2011/10/01"			70.03
	"Oct 02, 2011"	"2011/10/02"	"Georgia"	"13"	70.64
"Total"	"Oct 02, 2011"	"2011/10/02"			70.64
	"Oct 03, 2011"	"2011/10/03"	"Georgia"	"13"	76.06
"Total"	"Oct 03, 2011"	"2011/10/03"			76.06
	"Oct 04, 2011"	"2011/10/04"	"Georgia"	"13"	78.72
"Total"	"Oct 04, 2011"	"2011/10/04"			78.72
	"Oct 05, 2011"	"2011/10/05"	"Georgia"	"13"	81.32
"Total"	"Oct 05, 2011"	"2011/10/05"			81.32
	"Oct 06, 2011"	"2011/10/06"	"Georgia"	"13"	80.95
"Total"	"Oct 06, 2011"	"2011/10/06"			80.95
	"Oct 07, 2011"	"2011/10/07"	"Georgia"	"13"	81.13
"Total"	"Oct 07, 2011"	"2011/10/07"			81.13
	"Oct 08, 2011"	"2011/10/08"	"Georgia"	"13"	79.63
"Total"	"Oct 08, 2011"	"2011/10/08"			79.63
	"Oct 09, 2011"	"2011/10/09"	"Georgia"	"13"	77.62
"Total"	"Oct 09, 2011"	"2011/10/09"			77.62
	"Oct 10, 2011"	"2011/10/10"	"Georgia"	"13"	70.92
"Total"	"Oct 10, 2011"	"2011/10/10"			70.92
	"Oct 11, 2011"	"2011/10/11"	"Georgia"	"13"	70.52
"Total"	"Oct 11, 2011"	"2011/10/11"			70.52
	"Oct 12, 2011"	"2011/10/12"	"Georgia"	"13"	77.09
"Total"	"Oct 12, 2011"	"2011/10/12"			77.09
	"Oct 13, 2011"	"2011/10/13"	"Georgia"	"13"	78.98
"Total"	"Oct 13, 2011"	"2011/10/13"			78.98
	"Oct 14, 2011"	"2011/10/14"	"Georgia"	"13"	77.51
"Total"	"Oct 14, 2011"	"2011/10/14"			77.51
	"Oct 15, 2011"	"2011/10/15"	"Georgia"	"13"	81.78
"Total"	"Oct 15, 2011"	"2011/10/15"			81.78
	"Oct 16, 2011"	"2011/10/16"	"Georgia"	"13"	84.13
